OrderID,CustID,Total,OrderDate,Status
ORD-101,1,130.0,2024-01-05,completed
ORD-102,2,95.5,2024-01-07,complete
ORD-103,3,70.0,,done
ORD-104,4,45.0,2024-02-01,completed
ORD-105,5,62.25,,complete
ORD-106,6,80.0,2024-03-10,done
ORD-107,7,140.0,,completed
ORD-108,8,19.99,,complete
ORD-109,9,230.0,2024-04-02,complete
ORD-110,10,37.5,2024-04-20,done
ORD-111,11,52.0,2024-05-01,completed
ORD-112,12,515.0,2024-05-15,complete
ORD-113,13,7.99,2024-06-07,done
ORD-114,14,105.95,,completed
ORD-115,15,155.0,2024-08-10,complete
ORD-116,16,82.0,2024-09-03,completed
ORD-117,17,69.4,2024-09-12,done
ORD-118,18,305.0,2024-10-01,complete
ORD-119,19,44.0,2024-10-15,completed
ORD-120,20,59.75,2024-11-01,complete
