order_id,customer_id,amount,currency,order_date
ORD-001,1,120.5,USD,2023-01-05
ORD-002,2,89.99,,2023-01-07
ORD-003,3,999999.0,USD,2023-02-10
ORD-004,4,45.0,USD,2023-02-15
ORD-005,5,60.25,USD,2023-03-01
ORD-006,6,75.0,,2023-03-10
ORD-007,7,130.0,USD,2023-04-05
ORD-008,8,15.99,USD,2023-04-18
ORD-009,9,220.0,,2023-05-02
ORD-010,10,35.5,USD,2023-05-20
ORD-011,11,48.0,USD,2023-06-01
ORD-012,12,510.0,,2023-06-15
ORD-013,13,5.99,USD,2023-07-07
ORD-014,14,99.95,USD,2023-07-21
ORD-015,15,150.0,,2023-08-10
ORD-016,16,80.0,USD,2023-09-03
ORD-017,17,67.4,USD,2023-09-12
ORD-018,18,300.0,,2023-10-01
ORD-019,19,42.0,USD,2023-10-15
ORD-020,20,55.75,USD,2023-11-01
